,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
74,"frozenset({'Patriot', 'Gladiator'})",frozenset({'V1_Gladiator'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
75,frozenset({'V1_Gladiator'}),"frozenset({'Patriot', 'Gladiator'})",0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
76,frozenset({'Gladiator'}),"frozenset({'V1_Gladiator', 'Patriot'})",0.7,0.6,0.6,0.8571428571428572,1.4285714285714288,0.18,2.8000000000000016
77,frozenset({'Patriot'}),"frozenset({'V1_Gladiator', 'Gladiator'})",0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
78,"frozenset({'Gladiator', 'Patriot'})",frozenset({'V2_Patriot'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
79,"frozenset({'Patriot', 'V2_Patriot'})",frozenset({'Gladiator'}),0.6,0.7,0.6,1.0,1.4285714285714286,0.18,inf
80,"frozenset({'Gladiator', 'V2_Patriot'})",frozenset({'Patriot'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
81,frozenset({'Patriot'}),"frozenset({'Gladiator', 'V2_Patriot'})",0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
82,frozenset({'Gladiator'}),"frozenset({'Patriot', 'V2_Patriot'})",0.7,0.6,0.6,0.8571428571428572,1.4285714285714288,0.18,2.8000000000000016
83,frozenset({'V2_Patriot'}),"frozenset({'Gladiator', 'Patriot'})",0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
84,"frozenset({'Patriot', 'V3_Sixth Sense'})",frozenset({'Gladiator'}),0.4,0.7,0.4,1.0,1.4285714285714286,0.12000000000000005,inf
85,"frozenset({'Gladiator', 'V3_Sixth Sense'})",frozenset({'Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
86,frozenset({'V3_Sixth Sense'}),"frozenset({'Gladiator', 'Patriot'})",0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
87,"frozenset({'V1_Gladiator', 'Gladiator'})",frozenset({'V2_Patriot'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
