,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
118,"frozenset({'YouthBks', 'GeogBks', 'DoItYBks', 'CookBks'})",frozenset({'ChildBks'}),0.06,0.423,0.051,0.85,2.0094562647754137,0.025619999999999997,3.846666666666666
119,"frozenset({'YouthBks', 'GeogBks', 'DoItYBks'})","frozenset({'ChildBks', 'CookBks'})",0.068,0.256,0.051,0.7499999999999999,2.9296874999999996,0.033592,2.9759999999999986
120,"frozenset({'ChildBks', 'YouthBks', 'GeogBks', 'RefBks'})",frozenset({'CookBks'}),0.0515,0.431,0.044,0.8543689320388349,1.9822945058905683,0.0218035,3.9071333333333316
121,"frozenset({'YouthBks', 'CookBks', 'GeogBks', 'RefBks'})",frozenset({'ChildBks'}),0.048,0.423,0.044,0.9166666666666666,2.1670606776989754,0.023696,6.923999999999997
122,"frozenset({'YouthBks', 'GeogBks', 'RefBks'})","frozenset({'ChildBks', 'CookBks'})",0.057,0.256,0.044,0.7719298245614035,3.015350877192982,0.029407999999999997,3.2621538461538457
123,"frozenset({'ChildBks', 'YouthBks', 'GeogBks', 'ArtBks'})",frozenset({'CookBks'}),0.055,0.431,0.0465,0.8454545454545455,1.9616114743724953,0.022795,3.681764705882353
124,"frozenset({'ArtBks', 'YouthBks', 'GeogBks', 'CookBks'})",frozenset({'ChildBks'}),0.056,0.423,0.0465,0.8303571428571428,1.9630192502532928,0.022812,3.401263157894735
125,"frozenset({'ArtBks', 'YouthBks', 'GeogBks'})","frozenset({'ChildBks', 'CookBks'})",0.065,0.256,0.0465,0.7153846153846154,2.7944711538461537,0.029859999999999998,2.614054054054054
126,"frozenset({'ChildBks', 'GeogBks', 'DoItYBks', 'RefBks'})",frozenset({'CookBks'}),0.0525,0.431,0.045,0.8571428571428571,1.9887305270135895,0.0223725,3.9829999999999983
127,"frozenset({'GeogBks', 'CookBks', 'DoItYBks', 'RefBks'})",frozenset({'ChildBks'}),0.0495,0.423,0.045,0.9090909090909091,2.1491510853212983,0.0240615,6.346999999999998
128,"frozenset({'GeogBks', 'DoItYBks', 'RefBks'})","frozenset({'ChildBks', 'CookBks'})",0.0585,0.256,0.045,0.7692307692307692,3.004807692307692,0.030023999999999995,3.223999999999999
129,"frozenset({'ArtBks', 'ChildBks', 'GeogBks', 'DoItYBks'})",frozenset({'CookBks'}),0.0595,0.431,0.0535,0.8991596638655462,2.0862173175534715,0.027855500000000002,5.642583333333334
130,"frozenset({'ArtBks', 'GeogBks', 'DoItYBks', 'CookBks'})",frozenset({'ChildBks'}),0.065,0.423,0.0535,0.823076923076923,1.9458083287870522,0.026005,3.261304347826086
131,"frozenset({'ArtBks', 'GeogBks', 'DoItYBks'})","frozenset({'ChildBks', 'CookBks'})",0.073,0.256,0.0535,0.7328767123287672,2.8627996575342465,0.034811999999999996,2.7852307692307696
132,"frozenset({'ArtBks', 'ChildBks', 'GeogBks', 'RefBks'})",frozenset({'CookBks'}),0.0495,0.431,0.0405,0.8181818181818181,1.8983336848766081,0.019165500000000002,3.129499999999999
133,"frozenset({'ArtBks', 'GeogBks', 'CookBks', 'RefBks'})",frozenset({'ChildBks'}),0.046,0.423,0.0405,0.8804347826086957,2.0814061054579094,0.021042,4.825818181818183
134,"frozenset({'ArtBks', 'GeogBks', 'RefBks'})","frozenset({'ChildBks', 'CookBks'})",0.0565,0.256,0.0405,0.7168141592920354,2.800055309734513,0.026036,2.62725
